ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh
MWI,99863,Total fertility rate 15-49,5.7,1,MW,Malawi,2010,MW2010DHS,FE_FRTR_W_TFR,11763080,I,1000,0,Total,Total,0,,1,1,FEFRTRWTFR,,2010,DHS,,,,
MWI,99872,Total fertility rate 15-44,5.5,1,MW,Malawi,2010,MW2010DHS,FE_FRTR_W_TF4,11763090,I,1000,0,Total,Total,0,,1,1,FEFRTRWTF4,,2010,DHS,,,,
MWI,99873,General fertility rate,202,0,MW,Malawi,2010,MW2010DHS,FE_FRTR_W_GFR,11763100,I,1000,0,Total,Total,0,,1,1,FEFRTRWGFR,,2010,DHS,,,,
MWI,99874,Crude birth rate,39.2,1,MW,Malawi,2010,MW2010DHS,FE_FRTR_W_CBR,11763110,I,1000,0,Total,Total,0,,1,1,FEFRTRWCBR,,2010,DHS,,,,
MWI,183053,Total wanted fertility rate,4.5,1,MW,Malawi,2010,MW2010DHS,PR_WTFR_W_WFR,22333010,I,1000,0,Total,Total,0,,1,1,PRWTFRWWFR,,2010,DHS,,,,
MWI,98443,Age specific fertility rate: 15-19,155,0,MW,Malawi,2012,MW2012MIS,FE_FRTR_W_A15,11763010,I,1000,0,Total,Total,0,,1,1,FEFRTRWA15,,2012,MIS,,,,
MWI,98457,Age specific fertility rate: 20-24,246,0,MW,Malawi,2012,MW2012MIS,FE_FRTR_W_A20,11763020,I,1000,0,Total,Total,0,,1,1,FEFRTRWA20,,2012,MIS,,,,
MWI,98458,Age specific fertility rate: 25-29,214,0,MW,Malawi,2012,MW2012MIS,FE_FRTR_W_A25,11763030,I,1000,0,Total,Total,0,,1,1,FEFRTRWA25,,2012,MIS,,,,
MWI,98459,Age specific fertility rate: 30-34,195,0,MW,Malawi,2012,MW2012MIS,FE_FRTR_W_A30,11763040,I,1000,0,Total,Total,0,,1,1,FEFRTRWA30,,2012,MIS,,,,
MWI,98460,Age specific fertility rate: 35-39,145,0,MW,Malawi,2012,MW2012MIS,FE_FRTR_W_A35,11763050,I,1000,0,Total,Total,0,,1,1,FEFRTRWA35,,2012,MIS,,,,
MWI,98444,Age specific fertility rate: 40-44,86,0,MW,Malawi,2012,MW2012MIS,FE_FRTR_W_A40,11763060,I,1000,0,Total,Total,0,,1,1,FEFRTRWA40,,2012,MIS,,,,
MWI,98447,Age specific fertility rate: 45-49,27,0,MW,Malawi,2012,MW2012MIS,FE_FRTR_W_A45,11763070,I,1000,0,Total,Total,0,,1,1,FEFRTRWA45,,2012,MIS,,,,
MWI,98446,Total fertility rate 15-49,5.3,1,MW,Malawi,2012,MW2012MIS,FE_FRTR_W_TFR,11763080,I,1000,0,Total,Total,0,,1,1,FEFRTRWTFR,,2012,MIS,,,,
MWI,98448,Total fertility rate 15-44,5.2,1,MW,Malawi,2012,MW2012MIS,FE_FRTR_W_TF4,11763090,I,1000,0,Total,Total,0,,1,1,FEFRTRWTF4,,2012,MIS,,,,
MWI,98449,General fertility rate,191,0,MW,Malawi,2012,MW2012MIS,FE_FRTR_W_GFR,11763100,I,1000,0,Total,Total,0,,1,1,FEFRTRWGFR,,2012,MIS,,,,
MWI,98450,Crude birth rate,36.6,1,MW,Malawi,2012,MW2012MIS,FE_FRTR_W_CBR,11763110,I,1000,0,Total,Total,0,,1,1,FEFRTRWCBR,,2012,MIS,,,,
MWI,99449,Age specific fertility rate: 15-19,158,0,MW,Malawi,2014,MW2014MIS,FE_FRTR_W_A15,11763010,I,1000,0,Total,Total,0,,1,1,FEFRTRWA15,,2014,MIS,,,,
MWI,99441,Age specific fertility rate: 20-24,236,0,MW,Malawi,2014,MW2014MIS,FE_FRTR_W_A20,11763020,I,1000,0,Total,Total,0,,1,1,FEFRTRWA20,,2014,MIS,,,,
MWI,99442,Age specific fertility rate: 25-29,222,0,MW,Malawi,2014,MW2014MIS,FE_FRTR_W_A25,11763030,I,1000,0,Total,Total,0,,1,1,FEFRTRWA25,,2014,MIS,,,,
MWI,99443,Age specific fertility rate: 30-34,179,0,MW,Malawi,2014,MW2014MIS,FE_FRTR_W_A30,11763040,I,1000,0,Total,Total,0,,1,1,FEFRTRWA30,,2014,MIS,,,,
